id,sid1,sid2,sentence1,sentence2,is_duplicate
0,1,2,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,1
1,3,4,A group of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and a woman is standing in the background,0
2,5,6,The young boys are playing outdoors and the man is smiling nearby,The kids are playing outdoors near a man with a smile,1
3,7,8,The kids are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,0
4,9,10,Two dogs are fighting,Two dogs are wrestling and hugging,0
5,11,12,A brown dog is attacking another animal in front of the man in pants,Two dogs are fighting,0
6,13,14,Nobody is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,0
7,15,16,A person is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,0
8,17,18,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,0
9,19,20,A man with a jersey is dunking the ball at a basketball game,The ball is being dunked by a man with a jersey at a basketball game,1
10,21,22,A man with a jersey is dunking the ball at a basketball game with people nearby,A man who is playing dunks the basketball into the net and a crowd is in background,1
11,23,24,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,0
12,25,26,Two young women are sparring in a kickboxing fight,Two women are sparring in a kickboxing match,1
13,27,28,Two young women are not sparring in a kickboxing fight,Two women are watching a kickboxing match,0
14,29,30,Two people are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,0
15,31,32,Three boys are jumping in the leaves,Three kids are jumping in the leaves,1
16,33,34,Three kids are sitting in the leaves,Three kids are running over the leaves,0
17,35,36,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,0
18,37,38,Girls in red shirts are playing in the leaves with cats,Kids in red are playing in the leaves with cats,0
19,39,40,Two angels are making snow on the lying children,Two children are lying in the snow and are making snow angels,0
20,41,42,Two children are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,1
21,43,44,Two old people in snowsuits are lying in the snow,Two angels are lying in the snow,0
22,45,46,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest,1
23,47,48,People are gathering in a forest and are searching for mushrooms,People wearing costumes are scattering in a forest and are looking in different directions,0
24,49,50,People wearing costumes are scattering in a forest and are looking in different directions,Costumed people are spreding in a forest and are not looking in the same direction,1
25,51,52,An old woman is looking at a woman in a costume,The cow gives milk,0
26,53,54,A little girl is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,0
27,55,56,A young girl is not looking at a woman in costume,People are searching for costumes in the forest,0
28,57,58,People wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,0
29,59,60,People wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,0
30,61,62,A lone biker is jumping in the air,"A biker is jumping in the air, alone",1
31,63,64,There is no biker jumping in the air,No biker is jumping,1
32,65,66,A man is jumping into an empty pool,A man is jumping into a full pool,0
33,67,68,A man is jumping into an empty pool,The man's jumper is in the empty pool,0
34,69,70,A lone biker is jumping in the air,A man is jumping into a full pool,0
35,71,72,The man's jumper is in the empty pool,A lone biker is jumping in the air,0
36,73,74,A lone biker is jumping in the air,A man is jumping into an empty pool,0
37,75,76,Four kids are doing backbends in the park,Four children are doing backbends in the park,1
38,77,78,Four children are doing backbends in the gym,Four children are doing backbends in the park,0
39,79,80,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing in the yard,1
40,81,82,A man who is playing is running with the ball in his hands,A player is running with the ball,1
41,83,84,Two groups of people are playing football,A player is running with the ball,0
42,85,86,Two teams are competing in a baseball game,A player is running with the ball,0
43,87,88,A player is running with the ball,Two teams are competing in a football match,0
44,89,90,Five wooden stands are in front of each child's hut,Five children are standing in front of a wooden hut,0
45,91,92,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,0
46,93,94,Five kids are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,0
47,95,96,Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,0
48,97,98,Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,0
49,99,100,An old man is sitting in a field,A man is sitting in a field,1
50,101,102,A man is sitting in a field,A man is running in a field,0
51,103,104,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,1
52,105,106,A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,0
53,107,108,A person is sitting and wearing a grass hat,A man is sitting in a field,0
54,109,110,A man is sitting in a field,A person is wearing a hat and is sitting on the grass,0
55,111,112,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,1
56,113,114,A group of friends are riding the current in a raft,A group is not riding the current in a raft,0
57,115,116,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,0
58,117,118,A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,0
59,119,120,A deer is jumping over a fence,A deer isn't jumping over the fence,0
60,121,122,People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,0
61,123,124,Several people are in front of a colorful building,Nobody is in front of the colorful building,0
62,125,126,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,0
63,127,128,People are walking outside the building that has several murals on it,Several people are in front of a colorful building,0
64,129,130,A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,0
65,131,132,A child is hitting a baseball,A family is watching a little boy who is missing a baseball,0
66,133,134,A child is missing a baseball,A family is watching a little boy who is hitting a baseball,0
67,135,136,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,0
68,137,138,A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,0
69,139,140,A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,0
70,141,142,Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,0
71,143,144,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,0
72,145,146,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,0
73,147,148,A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,0
74,149,150,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,0
75,151,152,A man with a helmet painted red is riding a blue motorcycle,A motorcyclist with a red helmet is riding a blue motorcycle down the road,1
76,153,154,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,0
77,155,156,Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,0
78,157,158,Two dogs are playing by a tree,There is no dog leaping in the air,0
79,159,160,Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,0
80,161,162,A girl in white is dancing,The dancer is dancing in front of the sound equipment,0
81,163,164,A girl in white is dancing,The blond girl is dancing behind the sound equipment,0
82,165,166,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,0
83,167,168,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,0
84,169,170,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,0
85,171,172,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,0
86,173,174,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,0
87,175,176,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,0
88,177,178,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,0
89,179,180,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,1
90,181,182,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,0
91,183,184,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,0
92,185,186,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,0
93,187,188,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,0
94,189,190,"There is a man standing  in a strange position, on a rock, high above the trees",A man is on a rock high above some trees and is standing in a strange position,1
95,191,192,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,0
96,193,194,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,0
97,195,196,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,0
98,197,198,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,0
99,199,200,The brown horse is very near to a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,1
100,201,202,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,0
101,203,204,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,0
102,205,206,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,0
103,207,208,A boy is standing in the cold water,A boy is standing in the freezing water,1
104,209,210,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,0
105,211,212,A boy is standing in the water,The kid is swimming through the blue ocean,0
106,213,214,The boy is wading through the blue ocean,A boy is standing in the cold water,0
107,215,216,A man is playing a guitar on stage,There is no man playing a guitar on stage,0
108,217,218,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,0
109,219,220,A man is playing a guitar on stage,A bald person is playing a guitar,0
110,221,222,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,0
111,223,224,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,0
112,225,226,Two young girls are sitting on the ground,Two girls are sitting on the ground,1
113,227,228,Two girls are lying on the ground,Several children are sitting down and have their knees raised,0
114,229,230,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,0
115,231,232,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,0
116,233,234,"A young, topless woman is covered in paint",A topless girl is covered in paint,1
117,235,236,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,0
118,237,238,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",0
119,239,240,A nude lady is walking in front of a crowd in body paint,A naked woman is covered in paint near some people,1
120,241,242,A group of people is near the ocean,A crowd of people is near the water,1
121,243,244,A crowd of people is near the water,A crowd of people is far from the water,0
122,245,246,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,1
123,247,248,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,0
124,249,250,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,0
125,251,252,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,0
126,253,254,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,0
127,255,256,A group of people is on a beach,A group of people is near the sea,0
128,257,258,A group of people is on a beach,A group of people is on a mountain,0
129,259,260,"A man, a woman, and two girls are walking on the beach",Four people are walking on the beach,1
130,261,262,A group of people is sunbathing on a beach,Four people are getting a tan on the beach,1
131,263,264,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,0
132,265,266,"A man, a woman and two girls are running on the beach",A group of people are doing sports on a beach,1
133,267,268,A schoolgirl with a black bag is on a crowded train,A scholar with a black backpack is on a crowded train,1
